par_id	par_vertex	comm_mode	spar_5	spar_6	spar_7	spar_8	power_label
523	26561	23	87	87	87	87	23
524	26717	21	21	21	21	21	23
525	27825	3	3	3	3	3	3
526	27833	3	3	3	3	3	3
527	27844	14	6	6	6	6	20
528	27860	6	6	6	6	6	20
529	27947	132	11	11	11	11	3
530	27971	112	70	70	70	0	3
531	28060	3	3	3	3	3	3
532	28171	20	20	20	20	133	3
533	28345	3	3	3	3	3	3
534	28458	20	20	20	20	133	3
535	28528	3	3	3	3	3	3
536	28768	3	3	3	3	3	3
537	28833	3	3	3	3	3	3
538	28857	3	233	233	233	233	3
539	29090	3	3	3	3	3	3
540	29427	14	6	6	6	6	14
541	29496	78	78	78	78	78	20
542	29743	6	312	312	312	6	14
543	29805	78	164	164	164	164	3
544	30114	6	312	312	312	6	3
545	30152	3	249	249	249	249	26
546	30534	6	312	312	312	6	3
547	30710	14	192	192	192	14	26
548	30956	12	70	70	70	0	12
549	31290	14	14	14	14	14	25
550	31391	14	24	24	24	24	24
551	31463	74	74	74	74	74	17
552	31686	74	17	17	74	74	3
553	31729	109	14	14	14	14	9
554	31982	74	74	74	74	74	3
555	32032	74	17	17	74	74	3
556	32198	3	86	86	86	3	3
557	32208	74	74	74	74	74	3
